club,best_match,score,reason
AZ,Azam,0.667,no_confident_match
Excelsior Rotterdam,,,no_confident_match
FC Groningen,,,no_confident_match
PSV,PSV Eindhoven,0.375,no_confident_match
Roda JC Kerkrade,,,no_confident_match
VVV-Venlo,,,no_confident_match
