club,best_match,score,reason
AFS,AVS,0.747,no_confident_match
CD Nacional,,,no_confident_match
FC Felgueiras 1932,,,no_confident_match
FC Porto,FC Porto Juniors,0.636,no_confident_match
FC Porto B,,,no_confident_match
SCU Torreense,,,no_confident_match
SL Benfica B,Benfica,0.817,no_confident_match
