club,best_match,score,reason
Central Córdoba,Central Córdoba de Rosario,0.812,no_confident_match
Chaco For Ever,,,no_confident_match
Estudiantes (BA),ACE,0.118,no_confident_match
Estudiantes LP,ACE,0.118,no_confident_match
Gimnasia LP,Gimnasia y Tiro,0.772,no_confident_match
Mitre (SdE),,,no_confident_match
San Lorenzo,,,no_confident_match
Talleres,Talleres de Córdoba,0.673,no_confident_match
