club,matched_team,score,badge_url,saved_file
Ferrocarril Midland,Ferrocarril Midland,1.000,https://r2.thesportsdb.com/images/media/team/badge/l6vmj01730784534.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\ferrocarril-midland.png
Gimnasia de Mendoza,Gimnasia y Esgrima de Mendoza,0.872,https://r2.thesportsdb.com/images/media/team/badge/h11mlf1677636958.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\gimnasia-de-mendoza.png
Gimnasia y Esgrima (J),Gimnasia y Esgrima de Jujuy,0.931,https://r2.thesportsdb.com/images/media/team/badge/1jxpz51677637810.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\gimnasia-y-esgrima-j.png
Gimnasia y Tiro,Gimnasia y Tiro,1.000,https://r2.thesportsdb.com/images/media/team/badge/epmttr1678849271.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\gimnasia-y-tiro.png
Godoy Cruz,Godoy Cruz,1.000,https://r2.thesportsdb.com/images/media/team/badge/d3c0ds1517768584.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\godoy-cruz.png
Güemes,Güemes,1.000,https://r2.thesportsdb.com/images/media/team/badge/pvd49s1615822794.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\guemes.png
Huracán,Huracán,1.000,https://r2.thesportsdb.com/images/media/team/badge/kppi2b1775776550.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\huracan.png
Independiente,Independiente,1.000,https://r2.thesportsdb.com/images/media/team/badge/eki4nd1580842605.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\independiente.png
Independiente Rivadavia,Independiente Rivadavia,1.000,https://r2.thesportsdb.com/images/media/team/badge/qgzi2b1769406125.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\independiente-rivadavia.png
Instituto,Instituto,1.000,https://r2.thesportsdb.com/images/media/team/badge/jup59w1578825794.png,C:\Users\lfmou\OneDrive\Documentos\Trabalhos\vida_de_boleiro\source_club_logos\ARG\instituto.png
